SessionID,CourseID,Type,Day,StartTime,EndTime,Room,InstructorID,InstructorName,Sections,StudentCount
S78,CSC211,Lab,Sunday,9:00 AM,10:30 AM,B17 G.04,A12,Eng. Menna Mahmoud,CSIT-2-s9,25
S88,CSE214,Lab,Sunday,9:00 AM,10:30 AM,B18 G.20,A08,Eng. Heba Abdelkader,CSIT-2-s7,25
S94,MTH212,Lab,Sunday,9:00 AM,10:30 AM,B25 F1.18,A01,BAS Department Staff,CSIT-2-s1,25
S107,ACM215,Lab,Sunday,9:00 AM,10:30 AM,B07 F1.02,A44,Eng. Layla Zayd,CSIT-2-s2,25
S108,ACM215,Lab,Sunday,9:00 AM,10:30 AM,B10 F1.06,A45,Eng. Yousef Said,CSIT-2-s3,25
S125,LRA403,Lab,Sunday,9:00 AM,10:30 AM,B17 G.19,A38,Prof. Yumi Sato,CSIT-2-s8,25
S154,CNC311,Lab,Sunday,9:00 AM,10:30 AM,B17 F1.08,A07,Eng. Fatma Elsayed,CSIT-3-AID-s1,25
S155,CNC311,Lab,Sunday,9:00 AM,10:30 AM,B10 F1.11,A15,Eng. Nada Hamdy,CSIT-3-AID-s2,25
S156,CNC311,Lab,Sunday,9:00 AM,10:30 AM,B07 F1.01,A33,Eng. Hana Tarek,CSIT-3-AID-s3,25
S187,CSC317,Lecture,Sunday,9:00 AM,10:30 AM,B17 F1.16,P19,Dr. Hataba,"CSIT-3-CNC-s1, CSIT-3-CNC-s2, CSIT-3-CNC-s3",75
S200,CSC315,Lab,Sunday,9:00 AM,10:30 AM,B07 F1.21,A17,Eng. Omnya Ramadan,CSIT-3-BIF-s1,15
S205,AID413,Lecture,Sunday,9:00 AM,10:30 AM,B9 Theater,P37,Dr. Samir,"CSIT-4-AID-s1, CSIT-4-AID-s2, CSIT-4-AID-s3",75
S227,CNC413,Lab,Sunday,9:00 AM,10:30 AM,B18 F1.02,A41,Eng. Omar Hassan,CSIT-4-CNC-s2,25
S245,CSC411,Lab,Sunday,9:00 AM,10:30 AM,B17 F1.14,A42,Eng. Fatima Ali,CSIT-4-CSC-s1,25
S3,CSC111,Lecture,Thursday,10:45 AM,12:15 PM,B17 G.09,P35,Dr. Reda Elbasiony ,"CSIT-1-s7, CSIT-1-s8, CSIT-1-s9",75
S16,ECE111,Lab,Thursday,10:45 AM,12:15 PM,B18 F1.08,A02,ECE Department Staff,CSIT-1-s1,25
S41,PHY113,Lab,Thursday,10:45 AM,12:15 PM,B07 F1.02,A06,Eng. Fatima Ali,CSIT-1-s2,25
S56,LRA105,Lecture,Thursday,10:45 AM,12:15 PM,B09 G.35,P33,Dr. Omar Sharif,"CSIT-1-s4, CSIT-1-s5, CSIT-1-s6",75
S91,MTH212,Lecture,Thursday,10:45 AM,12:15 PM,B18 G.08,P14,Dr. Ayman Arafa,"CSIT-2-s1, CSIT-2-s2, CSIT-2-s3",75
S100,MTH212,Lab,Thursday,10:45 AM,12:15 PM,B07 F1.23,A01,BAS Department Staff,CSIT-2-s7,25
S110,ACM215,Lab,Thursday,10:45 AM,12:15 PM,B10 F1.11,A45,Eng. Yousef Said,CSIT-2-s5,25
S165,CNC314,Lecture,Thursday,10:45 AM,12:15 PM,B26 F1.10,P27,Dr. Mohamed Issa,"CSIT-3-CNC-s3, CSIT-3-CSC-s1, CSIT-3-CSC-s2",65
S180,CSC317,Lab,Thursday,10:45 AM,12:15 PM,B09 F1.22,A37,Eng. Nora Gamal,CSIT-3-AID-s1,25
S182,CSC317,Lab,Thursday,10:45 AM,12:15 PM,B07 F1.01,A12,Eng. Menna Mahmoud,CSIT-3-AID-s3,25
S253,CSC415,Lecture,Thursday,10:45 AM,12:15 PM,B26 G.14,P29,Dr. Mostafa Mohamed,"CSIT-4-CSC-s1, CSIT-4-CSC-s2",40
S10,CSC111,Lab,Thursday,12:30 PM,2:00 PM,B17 F1.09,A15,Eng. Nada Hamdy,CSIT-1-s7,25
S36,MTH111,Lab,Thursday,12:30 PM,2:00 PM,B07 F1.23,A01,BAS Department Staff,CSIT-1-s9,25
S80,CSE214,Lecture,Thursday,12:30 PM,2:00 PM,B26 F1.01,P30,Prof. Mostafa Soliman,"CSIT-2-s4, CSIT-2-s5, CSIT-2-s6",75
S90,CSE214,Lab,Thursday,12:30 PM,2:00 PM,B09 F1.13,A17,Eng. Omnya Ramadan,CSIT-2-s9,25
S112,ACM215,Lab,Thursday,12:30 PM,2:00 PM,B07 F1.20,A45,Eng. Yousef Said,CSIT-2-s7,25
S146,ECE324,Lab,Thursday,12:30 PM,2:00 PM,B07 F1.21,A02,ECE Department Staff,CSIT-3-CNC-s2,25
S175,AID311,Lecture,Thursday,12:30 PM,2:00 PM,B17 F1.16,P05,Dr. Ahmed Anter,"CSIT-3-AID-s1, CSIT-3-AID-s2, CSIT-3-AID-s3",75
S190,CSC317,Lab,Thursday,12:30 PM,2:00 PM,B07 F1.24,A37,Eng. Nora Gamal,CSIT-3-CNC-s3,25
S191,CSC314,Lecture,Thursday,12:30 PM,2:00 PM,B07 G.01,P32,Dr. Mustafa AlSayed,"CSIT-3-CSC-s1, CSIT-3-CSC-s2",40
S201,AID411,Lecture,Thursday,12:30 PM,2:00 PM,B08 G.41,P23,Prof. Marghany Hassan,"CSIT-4-AID-s1, CSIT-4-AID-s2, CSIT-4-AID-s3",75
